worker_id,shift,date,shift_hours,utilization
W0002,Night,2025-05-06,7.0,0.875
W0002,Night,2025-05-08,10.0,1.25
W0002,Night,2025-05-20,10.0,1.25
W0002,Night,2025-05-27,8.0,1.0
W0002,Night,2025-06-04,7.0,0.875
W0003,Evening,2025-02-14,9.0,1.125
W0003,Evening,2025-03-07,7.0,0.875
W0003,Evening,2025-03-28,10.0,1.25
W0003,Evening,2025-04-09,9.0,1.125
W0003,Evening,2025-06-04,6.0,0.75
W0003,Evening,2025-06-15,8.0,1.0
W0003,Evening,2025-06-18,10.0,1.25
W0003,Morning,2025-01-22,7.0,0.875
W0003,Morning,2025-03-19,6.0,0.75
W0003,Morning,2025-03-31,6.0,0.75
W0003,Morning,2025-04-01,8.0,1.0
W0003,Morning,2025-04-07,7.0,0.875
W0003,Morning,2025-04-26,18.0,2.25
W0003,Morning,2025-05-15,7.0,0.875
W0003,Morning,2025-06-29,10.0,1.25
W0003,Night,2025-01-25,6.0,0.75
W0003,Night,2025-03-03,9.0,1.125
W0003,Night,2025-03-20,8.0,1.0
W0003,Night,2025-03-24,6.0,0.75
W0003,Night,2025-04-05,9.0,1.125
W0003,Night,2025-05-11,6.0,0.75
W0003,Night,2025-05-19,6.0,0.75
W0003,Night,2025-05-22,6.0,0.75
W0003,Night,2025-05-29,10.0,1.25
W0003,Night,2025-06-06,6.0,0.75
W0003,Night,2025-06-14,9.0,1.125
W0004,Evening,2025-02-24,7.0,0.875
W0004,Evening,2025-03-15,6.0,0.75
W0004,Evening,2025-04-19,8.0,1.0
W0004,Evening,2025-05-04,6.0,0.75
W0004,Evening,2025-05-23,10.0,1.25
W0004,Evening,2025-05-28,10.0,1.25
W0004,Evening,2025-06-04,9.0,1.125
W0004,Evening,2025-06-29,6.0,0.75
W0004,Morning,2025-01-12,7.0,0.875
W0004,Morning,2025-02-09,7.0,0.875
W0004,Morning,2025-02-12,6.0,0.75
W0004,Morning,2025-03-26,8.0,1.0
W0004,Morning,2025-04-02,10.0,1.25
W0004,Morning,2025-04-21,7.0,0.875
W0004,Morning,2025-05-10,8.0,1.0
W0004,Morning,2025-05-15,7.0,0.875
W0004,Morning,2025-06-20,8.0,1.0
W0004,Night,2025-01-27,16.0,2.0
W0004,Night,2025-02-02,10.0,1.25
W0004,Night,2025-02-28,10.0,1.25
W0004,Night,2025-03-04,6.0,0.75
W0004,Night,2025-03-07,7.0,0.875
W0004,Night,2025-03-08,8.0,1.0
W0004,Night,2025-03-09,6.0,0.75
W0004,Night,2025-03-12,9.0,1.125
W0004,Night,2025-04-10,9.0,1.125
W0004,Night,2025-05-03,8.0,1.0
W0004,Night,2025-05-05,6.0,0.75
W0004,Night,2025-05-09,7.0,0.875
W0004,Night,2025-05-20,8.0,1.0
W0004,Night,2025-05-23,7.0,0.875
W0004,Night,2025-06-03,9.0,1.125
W0004,Night,2025-06-15,9.0,1.125
W0005,Evening,2025-01-29,16.0,2.0
W0005,Evening,2025-03-02,7.0,0.875
W0005,Evening,2025-05-07,8.0,1.0
W0005,Evening,2025-05-12,9.0,1.125
W0005,Evening,2025-05-14,6.0,0.75
W0005,Evening,2025-05-29,6.0,0.75
W0005,Evening,2025-06-07,10.0,1.25
W0005,Evening,2025-06-27,10.0,1.25
W0005,Morning,2025-01-29,8.0,1.0
W0005,Morning,2025-01-31,7.0,0.875
W0005,Morning,2025-03-19,8.0,1.0
W0005,Morning,2025-04-12,9.0,1.125
W0005,Morning,2025-06-26,6.0,0.75
W0005,Night,2025-01-02,6.0,0.75
W0005,Night,2025-01-16,9.0,1.125
W0005,Night,2025-02-02,8.0,1.0
W0005,Night,2025-02-06,8.0,1.0
W0005,Night,2025-02-12,6.0,0.75
W0005,Night,2025-02-20,9.0,1.125
W0005,Night,2025-02-24,7.0,0.875
W0005,Night,2025-03-11,10.0,1.25
W0005,Night,2025-03-12,8.0,1.0
W0005,Night,2025-03-15,6.0,0.75
W0005,Night,2025-04-05,8.0,1.0
W0005,Night,2025-04-28,8.0,1.0
W0005,Night,2025-05-08,6.0,0.75
W0005,Night,2025-05-09,6.0,0.75
W0005,Night,2025-05-17,7.0,0.875
W0005,Night,2025-05-20,8.0,1.0
W0005,Night,2025-05-30,6.0,0.75
W0005,Night,2025-06-04,7.0,0.875
W0005,Night,2025-06-08,6.0,0.75
W0005,Night,2025-06-25,9.0,1.125
W0006,Evening,2025-01-02,9.0,1.125
W0006,Evening,2025-01-03,10.0,1.25
W0006,Evening,2025-01-10,10.0,1.25
W0006,Evening,2025-01-27,9.0,1.125
W0006,Evening,2025-02-23,9.0,1.125
W0006,Evening,2025-03-06,9.0,1.125
W0006,Evening,2025-04-01,6.0,0.75
W0006,Evening,2025-05-02,10.0,1.25
W0006,Evening,2025-05-08,6.0,0.75
W0006,Evening,2025-05-30,6.0,0.75
W0006,Morning,2025-01-28,7.0,0.875
W0006,Morning,2025-02-05,10.0,1.25
W0006,Morning,2025-02-10,8.0,1.0
W0006,Morning,2025-03-23,8.0,1.0
W0006,Morning,2025-05-29,10.0,1.25
W0006,Morning,2025-06-16,9.0,1.125
W0006,Night,2025-01-20,9.0,1.125
W0006,Night,2025-01-24,8.0,1.0
W0006,Night,2025-03-19,8.0,1.0
W0006,Night,2025-04-09,8.0,1.0
W0006,Night,2025-05-18,9.0,1.125
W0006,Night,2025-06-06,8.0,1.0
W0006,Night,2025-06-07,10.0,1.25
W0006,Night,2025-06-14,8.0,1.0
W0006,Night,2025-06-24,6.0,0.75
W0007,Evening,2025-02-05,10.0,1.25
W0007,Evening,2025-02-10,6.0,0.75
W0007,Evening,2025-03-01,6.0,0.75
W0007,Evening,2025-03-10,6.0,0.75
W0007,Evening,2025-03-11,10.0,1.25
W0007,Evening,2025-03-12,7.0,0.875
W0007,Evening,2025-03-27,8.0,1.0
W0007,Evening,2025-04-13,6.0,0.75
W0007,Evening,2025-06-05,8.0,1.0
W0007,Evening,2025-06-11,7.0,0.875
W0007,Evening,2025-06-14,7.0,0.875
W0007,Morning,2025-01-01,7.0,0.875
W0007,Morning,2025-01-24,6.0,0.75
W0007,Morning,2025-03-03,6.0,0.75
W0007,Morning,2025-03-18,9.0,1.125
W0007,Morning,2025-04-09,9.0,1.125
W0007,Morning,2025-04-14,9.0,1.125
W0007,Morning,2025-04-19,10.0,1.25
W0007,Morning,2025-04-30,6.0,0.75
W0007,Morning,2025-05-05,9.0,1.125
W0007,Morning,2025-05-06,8.0,1.0
W0007,Morning,2025-05-12,10.0,1.25
W0007,Morning,2025-05-22,7.0,0.875
W0007,Night,2025-01-06,9.0,1.125
W0007,Night,2025-02-01,9.0,1.125
W0007,Night,2025-02-18,10.0,1.25
W0007,Night,2025-03-21,6.0,0.75
W0007,Night,2025-04-20,9.0,1.125
W0007,Night,2025-04-21,10.0,1.25
W0007,Night,2025-04-26,8.0,1.0
W0007,Night,2025-04-30,17.0,2.125
W0007,Night,2025-05-08,8.0,1.0
W0007,Night,2025-05-12,7.0,0.875
W0007,Night,2025-05-15,7.0,0.875
W0007,Night,2025-06-07,10.0,1.25
W0007,Night,2025-06-22,8.0,1.0
W0007,Night,2025-06-24,9.0,1.125
W0007,Night,2025-06-25,6.0,0.75
W0008,Evening,2025-05-06,10.0,1.25
W0008,Evening,2025-05-07,7.0,0.875
W0008,Evening,2025-06-07,6.0,0.75
W0008,Morning,2025-02-11,8.0,1.0
W0008,Morning,2025-02-19,9.0,1.125
W0008,Morning,2025-03-21,9.0,1.125
W0008,Morning,2025-03-30,10.0,1.25
W0008,Morning,2025-04-09,8.0,1.0
W0008,Morning,2025-04-12,10.0,1.25
W0008,Morning,2025-05-07,10.0,1.25
W0008,Morning,2025-05-16,8.0,1.0
W0008,Morning,2025-05-19,9.0,1.125
W0008,Night,2025-01-10,9.0,1.125
W0008,Night,2025-01-23,8.0,1.0
W0008,Night,2025-01-26,10.0,1.25
W0008,Night,2025-02-22,9.0,1.125
W0008,Night,2025-02-23,8.0,1.0
W0008,Night,2025-03-15,6.0,0.75
W0008,Night,2025-03-26,7.0,0.875
W0008,Night,2025-04-04,9.0,1.125
W0008,Night,2025-04-18,10.0,1.25
W0008,Night,2025-04-29,10.0,1.25
W0008,Night,2025-05-01,10.0,1.25
W0008,Night,2025-06-06,6.0,0.75
W0008,Night,2025-06-09,7.0,0.875
W0008,Night,2025-06-18,6.0,0.75
W0008,Night,2025-06-21,10.0,1.25
W0009,Evening,2025-01-03,7.0,0.875
W0009,Evening,2025-01-16,8.0,1.0
W0009,Evening,2025-01-31,8.0,1.0
W0009,Evening,2025-02-25,6.0,0.75
W0009,Evening,2025-03-29,9.0,1.125
W0009,Evening,2025-04-11,10.0,1.25
W0009,Evening,2025-04-30,7.0,0.875
W0009,Evening,2025-06-20,9.0,1.125
W0009,Morning,2025-02-25,8.0,1.0
W0009,Morning,2025-03-14,7.0,0.875
W0009,Morning,2025-03-18,6.0,0.75
W0009,Morning,2025-04-15,9.0,1.125
W0009,Morning,2025-05-02,6.0,0.75
W0009,Morning,2025-06-17,10.0,1.25
W0009,Night,2025-01-08,10.0,1.25
W0009,Night,2025-01-15,6.0,0.75
W0009,Night,2025-01-25,10.0,1.25
W0009,Night,2025-02-09,9.0,1.125
W0009,Night,2025-02-10,8.0,1.0
W0009,Night,2025-02-22,6.0,0.75
W0009,Night,2025-02-27,18.0,2.25
W0009,Night,2025-03-03,7.0,0.875
W0009,Night,2025-03-15,8.0,1.0
W0009,Night,2025-03-16,7.0,0.875
W0009,Night,2025-03-23,9.0,1.125
W0009,Night,2025-03-30,7.0,0.875
W0009,Night,2025-04-06,6.0,0.75
W0009,Night,2025-04-08,7.0,0.875
W0009,Night,2025-04-25,6.0,0.75
W0009,Night,2025-04-26,10.0,1.25
W0009,Night,2025-05-24,8.0,1.0
W0009,Night,2025-06-19,9.0,1.125
W0009,Night,2025-06-27,10.0,1.25
W0010,Evening,2025-01-01,10.0,1.25
W0010,Evening,2025-01-10,9.0,1.125
W0010,Evening,2025-01-27,10.0,1.25
W0010,Evening,2025-03-17,9.0,1.125
W0010,Evening,2025-03-19,10.0,1.25
W0010,Evening,2025-06-29,9.0,1.125
W0010,Morning,2025-02-10,7.0,0.875
W0010,Morning,2025-02-17,7.0,0.875
W0010,Morning,2025-05-11,10.0,1.25
W0010,Morning,2025-06-10,9.0,1.125
W0010,Morning,2025-06-12,10.0,1.25
W0010,Night,2025-02-02,8.0,1.0
W0010,Night,2025-02-11,10.0,1.25
W0010,Night,2025-02-22,6.0,0.75
W0010,Night,2025-03-08,7.0,0.875
W0010,Night,2025-03-13,9.0,1.125
W0010,Night,2025-03-15,7.0,0.875
W0010,Night,2025-03-16,6.0,0.75
W0010,Night,2025-04-03,10.0,1.25
W0010,Night,2025-04-11,8.0,1.0
W0010,Night,2025-04-18,10.0,1.25
W0010,Night,2025-04-20,7.0,0.875
W0010,Night,2025-05-18,8.0,1.0
W0010,Night,2025-06-04,9.0,1.125
W0010,Night,2025-06-07,8.0,1.0
W0010,Night,2025-06-20,9.0,1.125
W0011,Evening,2025-01-31,7.0,0.875
W0011,Evening,2025-02-28,10.0,1.25
W0011,Evening,2025-03-10,10.0,1.25
W0011,Evening,2025-03-17,9.0,1.125
W0011,Evening,2025-03-24,9.0,1.125
W0011,Evening,2025-04-23,6.0,0.75
W0011,Evening,2025-05-05,7.0,0.875
W0011,Morning,2025-01-04,9.0,1.125
W0011,Morning,2025-01-28,7.0,0.875
W0011,Morning,2025-04-03,6.0,0.75
W0011,Morning,2025-04-06,6.0,0.75
W0011,Morning,2025-04-09,8.0,1.0
W0011,Night,2025-01-19,16.0,2.0
W0011,Night,2025-01-24,7.0,0.875
W0011,Night,2025-01-26,7.0,0.875
W0011,Night,2025-02-14,8.0,1.0
W0011,Night,2025-02-25,8.0,1.0
W0011,Night,2025-03-03,6.0,0.75
W0011,Night,2025-03-13,10.0,1.25
W0011,Night,2025-03-23,8.0,1.0
W0011,Night,2025-03-27,10.0,1.25
W0011,Night,2025-04-04,9.0,1.125
W0011,Night,2025-04-21,7.0,0.875
W0011,Night,2025-05-08,8.0,1.0
W0011,Night,2025-05-30,7.0,0.875
W0011,Night,2025-06-15,8.0,1.0
W0011,Night,2025-06-25,6.0,0.75
W0011,Night,2025-06-28,8.0,1.0
W0012,Evening,2025-01-01,7.0,0.875
W0012,Evening,2025-01-06,10.0,1.25
W0012,Evening,2025-02-03,7.0,0.875
W0012,Evening,2025-02-16,6.0,0.75
W0012,Evening,2025-05-16,7.0,0.875
W0012,Evening,2025-06-04,8.0,1.0
W0012,Morning,2025-01-23,10.0,1.25
W0012,Morning,2025-01-24,6.0,0.75
W0012,Morning,2025-04-24,8.0,1.0
W0012,Morning,2025-04-29,9.0,1.125
W0012,Night,2025-01-11,7.0,0.875
W0012,Night,2025-01-18,10.0,1.25
W0012,Night,2025-01-24,8.0,1.0
W0012,Night,2025-01-25,7.0,0.875
W0012,Night,2025-01-31,9.0,1.125
W0012,Night,2025-03-07,6.0,0.75
W0012,Night,2025-04-11,8.0,1.0
W0012,Night,2025-04-20,7.0,0.875
W0012,Night,2025-04-23,6.0,0.75
W0012,Night,2025-04-29,7.0,0.875
W0012,Night,2025-05-03,10.0,1.25
W0012,Night,2025-05-30,9.0,1.125
W0012,Night,2025-06-15,7.0,0.875
W0013,Evening,2025-01-07,8.0,1.0
W0013,Evening,2025-02-08,10.0,1.25
W0013,Evening,2025-02-28,9.0,1.125
W0013,Evening,2025-03-11,10.0,1.25
W0013,Evening,2025-04-08,9.0,1.125
W0013,Evening,2025-04-21,7.0,0.875
W0013,Evening,2025-05-14,7.0,0.875
W0013,Evening,2025-06-22,9.0,1.125
W0013,Morning,2025-03-08,7.0,0.875
W0013,Morning,2025-03-13,7.0,0.875
W0013,Morning,2025-03-17,7.0,0.875
W0013,Morning,2025-05-12,6.0,0.75
W0013,Night,2025-01-13,10.0,1.25
W0013,Night,2025-01-18,7.0,0.875
W0013,Night,2025-01-30,7.0,0.875
W0013,Night,2025-01-31,7.0,0.875
W0013,Night,2025-02-04,8.0,1.0
W0013,Night,2025-02-11,7.0,0.875
W0013,Night,2025-02-13,6.0,0.75
W0013,Night,2025-02-24,8.0,1.0
W0013,Night,2025-02-26,8.0,1.0
W0013,Night,2025-03-13,8.0,1.0
W0013,Night,2025-03-21,8.0,1.0
W0013,Night,2025-03-23,8.0,1.0
W0013,Night,2025-04-04,8.0,1.0
W0013,Night,2025-04-12,8.0,1.0
W0013,Night,2025-04-15,10.0,1.25
W0013,Night,2025-04-22,7.0,0.875
W0013,Night,2025-05-03,7.0,0.875
W0013,Night,2025-05-05,10.0,1.25
W0013,Night,2025-05-07,7.0,0.875
W0014,Evening,2025-02-16,10.0,1.25
W0014,Evening,2025-02-20,8.0,1.0
W0014,Evening,2025-03-01,7.0,0.875
W0014,Evening,2025-03-19,10.0,1.25
W0014,Evening,2025-06-28,8.0,1.0
W0014,Morning,2025-02-07,6.0,0.75
W0014,Morning,2025-02-09,10.0,1.25
W0014,Morning,2025-02-19,10.0,1.25
W0014,Morning,2025-03-09,7.0,0.875
W0014,Morning,2025-05-19,8.0,1.0
W0014,Morning,2025-06-27,7.0,0.875
W0014,Night,2025-01-13,7.0,0.875
W0014,Night,2025-01-17,9.0,1.125
W0014,Night,2025-02-14,7.0,0.875
W0014,Night,2025-03-01,9.0,1.125
W0014,Night,2025-03-02,7.0,0.875
W0014,Night,2025-03-06,8.0,1.0
W0014,Night,2025-03-09,8.0,1.0
W0014,Night,2025-04-28,10.0,1.25
W0014,Night,2025-05-27,8.0,1.0
W0015,Evening,2025-02-20,6.0,0.75
W0015,Evening,2025-02-21,6.0,0.75
W0015,Evening,2025-04-12,6.0,0.75
W0015,Evening,2025-04-14,6.0,0.75
W0015,Evening,2025-05-05,9.0,1.125
W0015,Morning,2025-01-11,10.0,1.25
W0015,Morning,2025-01-21,7.0,0.875
W0015,Morning,2025-03-07,7.0,0.875
W0015,Morning,2025-05-21,6.0,0.75
W0015,Morning,2025-05-28,8.0,1.0
W0015,Morning,2025-05-29,7.0,0.875
W0015,Morning,2025-06-11,7.0,0.875
W0015,Morning,2025-06-22,9.0,1.125
W0015,Night,2025-01-05,17.0,2.125
W0015,Night,2025-02-05,7.0,0.875
W0015,Night,2025-03-17,7.0,0.875
W0015,Night,2025-04-13,10.0,1.25
W0015,Night,2025-04-14,7.0,0.875
W0015,Night,2025-04-24,7.0,0.875
W0015,Night,2025-05-20,9.0,1.125
W0015,Night,2025-05-31,10.0,1.25
W0015,Night,2025-06-22,7.0,0.875
W0016,Evening,2025-03-02,6.0,0.75
W0016,Evening,2025-03-20,9.0,1.125
W0016,Evening,2025-04-03,9.0,1.125
W0016,Evening,2025-04-06,7.0,0.875
W0016,Evening,2025-04-11,6.0,0.75
W0016,Evening,2025-04-12,8.0,1.0
W0016,Evening,2025-04-19,6.0,0.75
W0016,Evening,2025-05-21,7.0,0.875
W0016,Evening,2025-06-10,10.0,1.25
W0016,Morning,2025-02-09,10.0,1.25
W0016,Morning,2025-03-07,6.0,0.75
W0016,Morning,2025-04-24,10.0,1.25
W0016,Morning,2025-05-11,8.0,1.0
W0016,Morning,2025-05-15,6.0,0.75
W0016,Night,2025-01-07,9.0,1.125
W0016,Night,2025-03-27,9.0,1.125
W0016,Night,2025-04-08,6.0,0.75
W0016,Night,2025-04-27,8.0,1.0
W0016,Night,2025-06-24,9.0,1.125
W0016,Night,2025-06-26,6.0,0.75
W0016,Night,2025-06-28,10.0,1.25
W0017,Evening,2025-01-03,10.0,1.25
W0017,Evening,2025-01-13,10.0,1.25
W0017,Evening,2025-01-26,7.0,0.875
W0017,Evening,2025-02-22,10.0,1.25
W0017,Evening,2025-03-07,7.0,0.875
W0017,Evening,2025-03-13,10.0,1.25
W0017,Evening,2025-04-01,6.0,0.75
W0017,Evening,2025-04-16,9.0,1.125
W0017,Evening,2025-05-07,9.0,1.125
W0017,Morning,2025-01-02,8.0,1.0
W0017,Morning,2025-04-12,7.0,0.875
W0017,Morning,2025-04-13,8.0,1.0
W0017,Morning,2025-05-12,14.0,1.75
W0017,Morning,2025-05-16,10.0,1.25
W0017,Morning,2025-05-26,10.0,1.25
W0017,Morning,2025-06-17,9.0,1.125
W0017,Night,2025-01-19,7.0,0.875
W0017,Night,2025-01-20,8.0,1.0
W0017,Night,2025-01-23,10.0,1.25
W0017,Night,2025-02-22,6.0,0.75
W0017,Night,2025-03-12,9.0,1.125
W0017,Night,2025-03-19,7.0,0.875
W0017,Night,2025-04-11,8.0,1.0
W0017,Night,2025-05-12,10.0,1.25
W0017,Night,2025-05-22,8.0,1.0
W0017,Night,2025-06-06,9.0,1.125
W0018,Evening,2025-01-10,10.0,1.25
W0018,Evening,2025-03-18,7.0,0.875
W0018,Evening,2025-06-02,10.0,1.25
W0018,Evening,2025-06-18,6.0,0.75
W0018,Morning,2025-01-12,9.0,1.125
W0018,Morning,2025-02-20,8.0,1.0
W0018,Morning,2025-02-26,8.0,1.0
W0018,Morning,2025-03-17,6.0,0.75
W0018,Morning,2025-04-27,9.0,1.125
W0018,Morning,2025-04-30,6.0,0.75
W0018,Morning,2025-05-19,7.0,0.875
W0018,Morning,2025-05-25,6.0,0.75
W0018,Night,2025-01-29,7.0,0.875
W0018,Night,2025-01-30,10.0,1.25
W0018,Night,2025-02-06,10.0,1.25
W0018,Night,2025-02-10,16.0,2.0
W0018,Night,2025-02-25,7.0,0.875
W0018,Night,2025-03-02,12.0,1.5
W0018,Night,2025-03-03,7.0,0.875
W0018,Night,2025-03-14,10.0,1.25
W0018,Night,2025-03-15,10.0,1.25
W0018,Night,2025-03-19,9.0,1.125
W0018,Night,2025-03-27,7.0,0.875
W0018,Night,2025-04-25,8.0,1.0
W0018,Night,2025-05-01,9.0,1.125
W0018,Night,2025-05-02,9.0,1.125
W0018,Night,2025-05-11,7.0,0.875
W0018,Night,2025-05-28,10.0,1.25
W0018,Night,2025-06-24,6.0,0.75
W0019,Evening,2025-02-04,6.0,0.75
W0019,Evening,2025-02-18,8.0,1.0
W0019,Evening,2025-02-21,7.0,0.875
W0019,Evening,2025-02-26,8.0,1.0
W0019,Evening,2025-04-01,7.0,0.875
W0019,Evening,2025-04-20,9.0,1.125
W0019,Evening,2025-04-27,8.0,1.0
W0019,Evening,2025-05-13,9.0,1.125
W0019,Evening,2025-05-23,8.0,1.0
W0019,Evening,2025-06-03,8.0,1.0
W0019,Evening,2025-06-13,7.0,0.875
W0019,Morning,2025-01-08,8.0,1.0
W0019,Morning,2025-01-11,6.0,0.75
W0019,Morning,2025-02-10,7.0,0.875
W0019,Morning,2025-02-27,10.0,1.25
W0019,Morning,2025-04-09,9.0,1.125
W0019,Morning,2025-05-13,7.0,0.875
W0019,Morning,2025-06-05,8.0,1.0
W0019,Morning,2025-06-08,10.0,1.25
W0019,Night,2025-01-02,6.0,0.75
W0019,Night,2025-01-12,6.0,0.75
W0019,Night,2025-01-23,10.0,1.25
W0019,Night,2025-02-02,10.0,1.25
W0019,Night,2025-02-14,7.0,0.875
W0019,Night,2025-02-23,7.0,0.875
W0019,Night,2025-03-06,6.0,0.75
W0019,Night,2025-03-26,8.0,1.0
W0019,Night,2025-04-09,6.0,0.75
W0019,Night,2025-04-23,10.0,1.25
W0019,Night,2025-06-18,9.0,1.125
W0020,Evening,2025-01-02,8.0,1.0
W0020,Evening,2025-02-07,6.0,0.75
W0020,Evening,2025-02-17,6.0,0.75
W0020,Evening,2025-03-25,7.0,0.875
W0020,Evening,2025-03-26,6.0,0.75
W0020,Evening,2025-03-28,7.0,0.875
W0020,Evening,2025-04-03,6.0,0.75
W0020,Evening,2025-04-07,9.0,1.125
W0020,Evening,2025-06-07,6.0,0.75
W0020,Evening,2025-06-16,6.0,0.75
W0020,Evening,2025-06-28,9.0,1.125
W0020,Morning,2025-01-11,10.0,1.25
W0020,Morning,2025-01-22,7.0,0.875
W0020,Morning,2025-01-27,10.0,1.25
W0020,Morning,2025-03-02,9.0,1.125
W0020,Morning,2025-06-02,6.0,0.75
W0020,Morning,2025-06-14,9.0,1.125
W0020,Night,2025-01-26,8.0,1.0
W0020,Night,2025-01-31,9.0,1.125
W0020,Night,2025-02-19,8.0,1.0
W0020,Night,2025-02-20,9.0,1.125
W0020,Night,2025-03-17,7.0,0.875
W0020,Night,2025-04-08,7.0,0.875
W0020,Night,2025-05-06,6.0,0.75
W0020,Night,2025-06-07,7.0,0.875
W0020,Night,2025-06-29,7.0,0.875
W0021,Evening,2025-01-05,9.0,1.125
W0021,Evening,2025-02-05,6.0,0.75
W0021,Evening,2025-02-09,8.0,1.0
W0021,Evening,2025-02-21,15.0,1.875
W0021,Evening,2025-02-25,7.0,0.875
W0021,Evening,2025-04-16,8.0,1.0
W0021,Evening,2025-04-23,7.0,0.875
W0021,Evening,2025-05-04,6.0,0.75
W0021,Evening,2025-05-19,8.0,1.0
W0021,Evening,2025-06-02,10.0,1.25
W0021,Morning,2025-01-29,6.0,0.75
W0021,Morning,2025-03-08,6.0,0.75
W0021,Morning,2025-03-14,6.0,0.75
W0021,Morning,2025-04-02,10.0,1.25
W0021,Morning,2025-04-03,7.0,0.875
W0021,Morning,2025-06-26,10.0,1.25
W0021,Night,2025-01-19,10.0,1.25
W0021,Night,2025-01-24,8.0,1.0
W0021,Night,2025-01-25,6.0,0.75
W0021,Night,2025-02-04,10.0,1.25
W0021,Night,2025-03-13,9.0,1.125
W0021,Night,2025-03-25,6.0,0.75
W0021,Night,2025-03-28,10.0,1.25
W0021,Night,2025-04-25,8.0,1.0
W0021,Night,2025-05-01,7.0,0.875
W0021,Night,2025-05-11,7.0,0.875
W0021,Night,2025-05-18,10.0,1.25
W0021,Night,2025-05-27,10.0,1.25
W0021,Night,2025-05-29,6.0,0.75
W0021,Night,2025-06-13,9.0,1.125
W0022,Evening,2025-01-17,8.0,1.0
W0022,Evening,2025-01-30,6.0,0.75
W0022,Evening,2025-02-06,8.0,1.0
W0022,Evening,2025-02-07,9.0,1.125
W0022,Evening,2025-04-01,10.0,1.25
W0022,Evening,2025-04-10,6.0,0.75
W0022,Evening,2025-04-12,10.0,1.25
W0022,Evening,2025-04-24,8.0,1.0
W0022,Evening,2025-05-09,7.0,0.875
W0022,Morning,2025-01-05,6.0,0.75
W0022,Morning,2025-02-08,10.0,1.25
W0022,Morning,2025-04-05,7.0,0.875
W0022,Morning,2025-04-16,7.0,0.875
W0022,Morning,2025-05-25,9.0,1.125
W0022,Morning,2025-06-14,8.0,1.0
W0022,Night,2025-02-02,10.0,1.25
W0022,Night,2025-02-27,6.0,0.75
W0022,Night,2025-03-04,8.0,1.0
W0022,Night,2025-03-08,10.0,1.25
W0022,Night,2025-03-10,10.0,1.25
W0022,Night,2025-03-15,7.0,0.875
W0022,Night,2025-03-24,9.0,1.125
W0022,Night,2025-03-26,6.0,0.75
W0022,Night,2025-03-31,6.0,0.75
W0022,Night,2025-04-08,9.0,1.125
W0022,Night,2025-04-14,10.0,1.25
W0022,Night,2025-04-18,8.0,1.0
W0022,Night,2025-05-02,6.0,0.75
W0022,Night,2025-05-26,9.0,1.125
W0022,Night,2025-06-09,7.0,0.875
W0022,Night,2025-06-16,8.0,1.0
W0022,Night,2025-06-24,7.0,0.875
W0023,Evening,2025-01-24,7.0,0.875
W0023,Evening,2025-02-05,9.0,1.125
W0023,Evening,2025-02-26,10.0,1.25
