shift,date,items_shipped
Evening,2025-05-13,203.0
Evening,2025-05-14,154.0
Evening,2025-05-15,295.0
Evening,2025-05-16,237.0
Evening,2025-05-17,263.0
Evening,2025-05-18,295.0
Evening,2025-05-19,335.0
Evening,2025-05-20,442.0
Evening,2025-05-21,251.0
Evening,2025-05-22,266.0
Evening,2025-05-23,244.0
Evening,2025-05-24,410.0
Evening,2025-05-25,436.0
Evening,2025-05-26,271.0
Evening,2025-05-27,222.0
Evening,2025-05-28,335.0
Evening,2025-05-29,452.0
Evening,2025-05-30,179.0
Evening,2025-05-31,410.0
Evening,2025-06-01,296.0
Evening,2025-06-02,204.0
Evening,2025-06-03,473.0
Evening,2025-06-04,522.0
Evening,2025-06-05,289.0
Evening,2025-06-06,483.0
Evening,2025-06-07,389.0
Evening,2025-06-08,246.0
Evening,2025-06-09,214.0
Evening,2025-06-10,95.0
Evening,2025-06-11,200.0
Evening,2025-06-12,260.0
Evening,2025-06-13,223.0
Evening,2025-06-14,381.0
Evening,2025-06-15,397.0
Evening,2025-06-16,181.0
Evening,2025-06-17,441.0
Evening,2025-06-18,242.0
Evening,2025-06-19,203.0
Evening,2025-06-20,361.0
Evening,2025-06-21,261.0
Evening,2025-06-22,301.0
Evening,2025-06-23,249.0
Evening,2025-06-24,366.0
Evening,2025-06-25,314.0
Evening,2025-06-26,514.0
Evening,2025-06-27,203.0
Evening,2025-06-28,554.0
Evening,2025-06-29,116.0
Morning,2025-01-01,541.0
Morning,2025-01-02,588.0
Morning,2025-01-03,629.0
Morning,2025-01-04,548.0
Morning,2025-01-05,665.0
Morning,2025-01-06,656.0
Morning,2025-01-07,563.0
Morning,2025-01-08,327.0
Morning,2025-01-09,576.0
Morning,2025-01-10,564.0
Morning,2025-01-11,540.0
Morning,2025-01-12,690.0
Morning,2025-01-13,502.0
Morning,2025-01-14,662.0
Morning,2025-01-15,699.0
Morning,2025-01-16,503.0
Morning,2025-01-17,604.0
Morning,2025-01-18,850.0
Morning,2025-01-19,427.0
Morning,2025-01-20,678.0
Morning,2025-01-21,684.0
Morning,2025-01-22,671.0
Morning,2025-01-23,704.0
Morning,2025-01-24,616.0
Morning,2025-01-25,694.0
Morning,2025-01-26,656.0
Morning,2025-01-27,581.0
Morning,2025-01-28,234.0
Morning,2025-01-29,474.0
Morning,2025-01-30,679.0
Morning,2025-01-31,566.0
Morning,2025-02-01,534.0
Morning,2025-02-02,1111.0
Morning,2025-02-03,656.0
Morning,2025-02-04,621.0
Morning,2025-02-05,625.0
Morning,2025-02-06,490.0
Morning,2025-02-07,725.0
Morning,2025-02-08,429.0
Morning,2025-02-09,288.0
Morning,2025-02-10,649.0
Morning,2025-02-11,541.0
Morning,2025-02-12,649.0
Morning,2025-02-13,919.0
Morning,2025-02-14,397.0
Morning,2025-02-15,587.0
Morning,2025-02-16,649.0
Morning,2025-02-17,361.0
Morning,2025-02-18,542.0
Morning,2025-02-19,353.0
Morning,2025-02-20,706.0
Morning,2025-02-21,763.0
Morning,2025-02-22,751.0
Morning,2025-02-23,809.0
Morning,2025-02-24,457.0
Morning,2025-02-25,602.0
Morning,2025-02-26,541.0
Morning,2025-02-27,516.0
Morning,2025-02-28,621.0
Morning,2025-03-01,483.0
Morning,2025-03-02,644.0
Morning,2025-03-03,434.0
Morning,2025-03-04,531.0
Morning,2025-03-05,525.0
Morning,2025-03-06,928.0
Morning,2025-03-07,365.0
Morning,2025-03-08,543.0
Morning,2025-03-09,443.0
Morning,2025-03-10,855.0
Morning,2025-03-11,694.0
Morning,2025-03-12,726.0
Morning,2025-03-13,499.0
Morning,2025-03-14,490.0
Morning,2025-03-15,580.0
Morning,2025-03-16,610.0
Morning,2025-03-17,559.0
Morning,2025-03-18,849.0
Morning,2025-03-19,631.0
Morning,2025-03-20,281.0
Morning,2025-03-21,773.0
Morning,2025-03-22,681.0
Morning,2025-03-23,607.0
Morning,2025-03-24,706.0
Morning,2025-03-25,493.0
Morning,2025-03-26,604.0
Morning,2025-03-27,485.0
Morning,2025-03-28,671.0
Morning,2025-03-29,754.0
Morning,2025-03-30,675.0
Morning,2025-03-31,726.0
Morning,2025-04-01,432.0
Morning,2025-04-02,598.0
Morning,2025-04-03,454.0
Morning,2025-04-04,578.0
Morning,2025-04-05,617.0
Morning,2025-04-06,806.0
Morning,2025-04-07,596.0
Morning,2025-04-08,471.0
Morning,2025-04-09,446.0
Morning,2025-04-10,502.0
Morning,2025-04-11,508.0
Morning,2025-04-12,980.0
Morning,2025-04-13,665.0
Morning,2025-04-14,881.0
Morning,2025-04-15,621.0
Morning,2025-04-16,586.0
Morning,2025-04-17,411.0
Morning,2025-04-18,513.0
Morning,2025-04-19,564.0
Morning,2025-04-20,655.0
Morning,2025-04-21,414.0
Morning,2025-04-22,669.0
Morning,2025-04-23,589.0
Morning,2025-04-24,668.0
Morning,2025-04-25,645.0
Morning,2025-04-26,647.0
Morning,2025-04-27,668.0
Morning,2025-04-28,486.0
Morning,2025-04-29,646.0
Morning,2025-04-30,775.0
Morning,2025-05-01,435.0
Morning,2025-05-02,462.0
Morning,2025-05-03,514.0
Morning,2025-05-04,793.0
Morning,2025-05-05,659.0
Morning,2025-05-06,561.0
Morning,2025-05-07,514.0
Morning,2025-05-08,457.0
Morning,2025-05-09,701.0
Morning,2025-05-10,443.0
Morning,2025-05-11,860.0
Morning,2025-05-12,690.0
Morning,2025-05-13,368.0
Morning,2025-05-14,737.0
Morning,2025-05-15,561.0
Morning,2025-05-16,753.0
Morning,2025-05-17,971.0
Morning,2025-05-18,575.0
Morning,2025-05-19,635.0
Morning,2025-05-20,860.0
Morning,2025-05-21,604.0
Morning,2025-05-22,668.0
Morning,2025-05-23,616.0
Morning,2025-05-24,808.0
Morning,2025-05-25,506.0
Morning,2025-05-26,745.0
Morning,2025-05-27,463.0
Morning,2025-05-28,470.0
Morning,2025-05-29,411.0
Morning,2025-05-30,301.0
Morning,2025-05-31,622.0
Morning,2025-06-01,600.0
Morning,2025-06-02,505.0
Morning,2025-06-03,479.0
Morning,2025-06-04,600.0
Morning,2025-06-05,684.0
Morning,2025-06-06,632.0
Morning,2025-06-07,623.0
Morning,2025-06-08,644.0
Morning,2025-06-09,473.0
Morning,2025-06-10,773.0
Morning,2025-06-11,439.0
Morning,2025-06-12,599.0
Morning,2025-06-13,557.0
Morning,2025-06-14,326.0
Morning,2025-06-15,422.0
Morning,2025-06-16,488.0
Morning,2025-06-17,661.0
Morning,2025-06-18,505.0
Morning,2025-06-19,597.0
Morning,2025-06-20,612.0
Morning,2025-06-21,570.0
Morning,2025-06-22,495.0
Morning,2025-06-23,626.0
Morning,2025-06-24,777.0
Morning,2025-06-25,890.0
Morning,2025-06-26,722.0
Morning,2025-06-27,500.0
Morning,2025-06-28,545.0
Morning,2025-06-29,831.0
Night,2025-01-01,265.0
Night,2025-01-02,253.0
Night,2025-01-03,476.0
Night,2025-01-04,91.0
Night,2025-01-05,450.0
Night,2025-01-06,386.0
Night,2025-01-07,287.0
Night,2025-01-08,289.0
Night,2025-01-09,542.0
Night,2025-01-10,117.0
Night,2025-01-11,304.0
Night,2025-01-12,347.0
Night,2025-01-13,300.0
Night,2025-01-14,306.0
Night,2025-01-15,231.0
Night,2025-01-16,421.0
Night,2025-01-17,382.0
Night,2025-01-18,186.0
Night,2025-01-19,260.0
Night,2025-01-20,405.0
Night,2025-01-21,314.0
Night,2025-01-22,51.0
Night,2025-01-23,420.0
Night,2025-01-24,402.0
Night,2025-01-25,352.0
Night,2025-01-26,312.0
Night,2025-01-27,310.0
Night,2025-01-28,340.0
Night,2025-01-29,382.0
Night,2025-01-30,330.0
Night,2025-01-31,190.0
Night,2025-02-01,310.0
Night,2025-02-02,314.0
Night,2025-02-03,238.0
Night,2025-02-04,236.0
Night,2025-02-05,423.0
Night,2025-02-06,144.0
Night,2025-02-07,276.0
Night,2025-02-08,405.0
Night,2025-02-09,215.0
Night,2025-02-10,407.0
Night,2025-02-11,203.0
Night,2025-02-12,249.0
Night,2025-02-13,341.0
Night,2025-02-14,339.0
Night,2025-02-15,369.0
Night,2025-02-16,351.0
Night,2025-02-17,363.0
Night,2025-02-18,234.0
Night,2025-02-19,269.0
Night,2025-02-20,338.0
Night,2025-02-21,406.0
Night,2025-02-22,218.0
Night,2025-02-23,203.0
Night,2025-02-24,259.0
Night,2025-02-25,397.0
Night,2025-02-26,162.0
Night,2025-02-27,491.0
Night,2025-02-28,523.0
Night,2025-03-01,470.0
Night,2025-03-02,467.0
Night,2025-03-03,485.0
Night,2025-03-04,476.0
Night,2025-03-05,136.0
Night,2025-03-06,369.0
Night,2025-03-07,354.0
Night,2025-03-08,251.0
Night,2025-03-09,404.0
Night,2025-03-10,289.0
Night,2025-03-11,474.0
Night,2025-03-12,385.0
Night,2025-03-13,251.0
Night,2025-03-14,393.0
Night,2025-03-15,333.0
Night,2025-03-16,267.0
Night,2025-03-17,399.0
Night,2025-03-18,269.0
Night,2025-03-19,293.0
Night,2025-03-20,226.0
Night,2025-03-21,272.0
Night,2025-03-22,236.0
Night,2025-03-23,166.0
Night,2025-03-24,247.0
Night,2025-03-25,360.0
Night,2025-03-26,187.0
Night,2025-03-27,184.0
Night,2025-03-28,365.0
Night,2025-03-29,340.0
Night,2025-03-30,150.0
Night,2025-03-31,256.0
Night,2025-04-01,196.0
Night,2025-04-02,334.0
Night,2025-04-03,289.0
Night,2025-04-04,228.0
Night,2025-04-05,233.0
Night,2025-04-06,294.0
Night,2025-04-07,218.0
Night,2025-04-08,474.0
Night,2025-04-09,389.0
Night,2025-04-10,347.0
Night,2025-04-11,368.0
Night,2025-04-12,544.0
Night,2025-04-13,304.0
Night,2025-04-14,351.0
Night,2025-04-15,184.0
Night,2025-04-16,390.0
Night,2025-04-17,339.0
Night,2025-04-18,163.0
Night,2025-04-19,216.0
Night,2025-04-20,304.0
Night,2025-04-21,217.0
Night,2025-04-22,528.0
Night,2025-04-23,362.0
Night,2025-04-24,224.0
Night,2025-04-25,289.0
Night,2025-04-26,340.0
Night,2025-04-27,281.0
Night,2025-04-28,340.0
Night,2025-04-29,141.0
Night,2025-04-30,363.0
Night,2025-05-01,464.0
Night,2025-05-02,289.0
Night,2025-05-03,277.0
Night,2025-05-04,250.0
Night,2025-05-05,415.0
Night,2025-05-06,423.0
Night,2025-05-07,166.0
Night,2025-05-08,243.0
Night,2025-05-09,364.0
Night,2025-05-10,346.0
Night,2025-05-11,434.0
Night,2025-05-12,244.0
Night,2025-05-13,355.0
Night,2025-05-14,240.0
Night,2025-05-15,262.0
Night,2025-05-16,207.0
Night,2025-05-17,260.0
Night,2025-05-18,422.0
Night,2025-05-19,257.0
Night,2025-05-20,297.0
Night,2025-05-21,155.0
Night,2025-05-22,381.0
Night,2025-05-23,478.0
Night,2025-05-24,215.0
Night,2025-05-25,229.0
Night,2025-05-26,316.0
Night,2025-05-27,235.0
Night,2025-05-28,390.0
Night,2025-05-29,241.0
Night,2025-05-30,478.0
Night,2025-05-31,281.0
Night,2025-06-01,339.0
Night,2025-06-02,556.0
Night,2025-06-03,185.0
Night,2025-06-04,232.0
Night,2025-06-05,373.0
Night,2025-06-06,255.0
Night,2025-06-07,390.0
Night,2025-06-08,426.0
Night,2025-06-09,465.0
Night,2025-06-10,348.0
Night,2025-06-11,333.0
Night,2025-06-12,199.0
Night,2025-06-13,273.0
Night,2025-06-14,447.0
Night,2025-06-15,394.0
Night,2025-06-16,431.0
Night,2025-06-17,298.0
Night,2025-06-18,367.0
Night,2025-06-19,227.0
Night,2025-06-20,299.0
Night,2025-06-21,154.0
Night,2025-06-22,527.0
Night,2025-06-23,245.0
Night,2025-06-24,221.0
Night,2025-06-25,280.0
Night,2025-06-26,465.0
Night,2025-06-27,110.0
Night,2025-06-28,312.0
Night,2025-06-29,327.0
