log_id,worker_id,shift,login_time,logout_time,shift_hours
LOG200138,W0500,Morning,2025-05-06 05:36:00,2025-05-06 14:36:00,9.0
LOG200139,W0007,Evening,2025-03-01 22:33:00,2025-03-02 04:33:00,6.0
LOG200140,W0123,Morning,2025-04-01 21:44:00,2025-04-02 06:44:00,9.0
LOG200141,W0103,Night,2025-02-07 13:53:00,2025-02-07 21:53:00,8.0
LOG200142,W0414,Morning,2025-02-18 22:31:00,2025-02-19 04:31:00,6.0
LOG200143,W0175,Night,2025-05-14 23:07:00,2025-05-15 05:07:00,6.0
LOG200147,W0488,Night,2025-03-08 11:48:00,2025-03-08 17:48:00,6.0
LOG200149,W0068,Morning,2025-04-20 16:23:00,2025-04-20 23:23:00,7.0
LOG200150,W0013,Evening,2025-03-11 10:03:00,2025-03-11 20:03:00,10.0
LOG200152,W0381,Night,2025-04-29 20:39:00,2025-04-30 06:39:00,10.0
LOG200153,W0419,Night,2025-06-27 09:37:00,2025-06-27 16:37:00,7.0
LOG200154,W0400,Evening,2025-01-06 13:18:00,2025-01-06 21:18:00,8.0
LOG200155,W0436,Night,2025-04-26 09:38:00,2025-04-26 18:38:00,9.0
LOG200156,W0349,Morning,2025-01-28 08:46:00,2025-01-28 18:46:00,10.0
LOG200158,W0240,Night,2025-03-21 04:23:00,2025-03-21 12:23:00,8.0
LOG200159,W0272,Evening,2025-04-24 03:55:00,2025-04-24 13:55:00,10.0
LOG200160,W0311,Night,2025-01-08 18:27:00,2025-01-09 04:27:00,10.0
LOG200161,W0287,Evening,2025-04-09 06:45:00,2025-04-09 15:45:00,9.0
LOG200162,W0259,Night,2025-01-06 23:33:00,2025-01-07 08:33:00,9.0
LOG200163,W0370,Evening,2025-04-11 00:17:00,2025-04-11 07:17:00,7.0
LOG200165,W0090,Night,2025-02-18 00:29:00,2025-02-18 07:29:00,7.0
LOG200169,W0311,Night,2025-06-18 08:34:00,2025-06-18 15:34:00,7.0
LOG200170,W0194,Night,2025-06-14 17:00:00,2025-06-15 02:00:00,9.0
LOG200171,W0398,Night,2025-03-16 11:50:00,2025-03-16 18:50:00,7.0
LOG200172,W0383,Evening,2025-04-11 14:26:00,2025-04-11 22:26:00,8.0
LOG200173,W0199,Morning,2025-06-29 15:06:00,2025-06-29 21:06:00,6.0
LOG200174,W0315,Morning,2025-04-12 04:24:00,2025-04-12 13:24:00,9.0
LOG200176,W0410,Night,2025-02-28 03:18:00,2025-02-28 09:18:00,6.0
LOG200177,W0195,Morning,2025-04-04 05:51:00,2025-04-04 13:51:00,8.0
LOG200178,W0163,Evening,2025-04-24 18:23:00,2025-04-25 01:23:00,7.0
LOG200179,W0251,Morning,2025-01-05 07:02:00,2025-01-05 14:02:00,7.0
LOG200181,W0479,Night,2025-03-13 23:57:00,2025-03-14 05:57:00,6.0
LOG200182,W0444,Night,2025-01-02 13:31:00,2025-01-02 19:31:00,6.0
LOG200183,W0058,Evening,2025-03-08 09:33:00,2025-03-08 19:33:00,10.0
LOG200184,W0230,Evening,2025-03-11 22:10:00,2025-03-12 04:10:00,6.0
LOG200187,W0271,Night,2025-05-25 15:23:00,2025-05-25 23:23:00,8.0
LOG200188,W0287,Evening,2025-03-13 17:31:00,2025-03-13 23:31:00,6.0
LOG200190,W0284,Night,2025-03-02 02:50:00,2025-03-02 10:50:00,8.0
LOG200191,W0381,Night,2025-03-26 16:03:00,2025-03-26 22:03:00,6.0
LOG200192,W0130,Night,2025-02-09 01:00:00,2025-02-09 10:00:00,9.0
LOG200193,W0495,Evening,2025-06-19 06:12:00,2025-06-19 13:12:00,7.0
LOG200194,W0218,Morning,2025-05-13 01:50:00,2025-05-13 11:50:00,10.0
LOG200199,W0318,Night,2025-03-08 18:07:00,2025-03-09 04:07:00,10.0
LOG200200,W0031,Evening,2025-03-29 14:16:00,2025-03-29 21:16:00,7.0
LOG200201,W0424,Night,2025-01-21 14:35:00,2025-01-21 21:35:00,7.0
LOG200202,W0332,Night,2025-05-06 23:21:00,2025-05-07 09:21:00,10.0
LOG200204,W0314,Night,2025-04-09 19:20:00,2025-04-10 02:20:00,7.0
LOG200205,W0036,Morning,2025-01-01 05:22:00,2025-01-01 11:22:00,6.0
LOG200206,W0008,Evening,2025-05-06 19:59:00,2025-05-07 05:59:00,10.0
LOG200207,W0072,Night,2025-02-28 15:57:00,2025-02-28 22:57:00,7.0
LOG200208,W0086,Evening,2025-02-25 19:59:00,2025-02-26 01:59:00,6.0
LOG200210,W0090,Evening,2025-04-02 19:29:00,2025-04-03 01:29:00,6.0
LOG200211,W0240,Night,2025-01-02 22:19:00,2025-01-03 07:19:00,9.0
LOG200212,W0111,Night,2025-01-03 23:30:00,2025-01-04 07:30:00,8.0
LOG200213,W0098,Night,2025-04-13 08:15:00,2025-04-13 14:15:00,6.0
LOG200214,W0074,Morning,2025-02-14 00:57:00,2025-02-14 07:57:00,7.0
LOG200216,W0083,Night,2025-04-25 00:12:00,2025-04-25 06:12:00,6.0
LOG200217,W0428,Night,2025-01-25 02:07:00,2025-01-25 12:07:00,10.0
LOG200218,W0496,Night,2025-05-19 08:09:00,2025-05-19 15:09:00,7.0
LOG200219,W0061,Night,2025-06-12 09:03:00,2025-06-12 16:03:00,7.0
LOG200220,W0409,Night,2025-05-17 12:40:00,2025-05-17 18:40:00,6.0
LOG200222,W0288,Morning,2025-05-04 06:14:00,2025-05-04 16:14:00,10.0
LOG200223,W0060,Night,2025-06-05 11:03:00,2025-06-05 20:03:00,9.0
LOG200224,W0074,Night,2025-06-07 23:11:00,2025-06-08 09:11:00,10.0
LOG200225,W0140,Morning,2025-05-15 19:30:00,2025-05-16 05:30:00,10.0
LOG200226,W0270,Evening,2025-02-19 14:04:00,2025-02-19 20:04:00,6.0
LOG200227,W0238,Evening,2025-04-03 18:52:00,2025-04-04 02:52:00,8.0
LOG200228,W0182,Morning,2025-04-07 14:11:00,2025-04-07 21:11:00,7.0
LOG200229,W0381,Morning,2025-01-16 05:01:00,2025-01-16 15:01:00,10.0
LOG200230,W0478,Night,2025-04-20 02:10:00,2025-04-20 12:10:00,10.0
LOG200231,W0022,Evening,2025-01-17 05:07:00,2025-01-17 13:07:00,8.0
LOG200232,W0047,Morning,2025-03-15 00:27:00,2025-03-15 07:27:00,7.0
LOG200233,W0221,Night,2025-04-11 22:44:00,2025-04-12 04:44:00,6.0
LOG200234,W0217,Night,2025-01-15 03:57:00,2025-01-15 11:57:00,8.0
LOG200235,W0347,Night,2025-06-27 10:53:00,2025-06-27 16:53:00,6.0
LOG200236,W0387,Night,2025-06-23 13:36:00,2025-06-23 21:36:00,8.0
LOG200238,W0075,Night,2025-03-02 17:03:00,2025-03-02 23:03:00,6.0
LOG200239,W0290,Evening,2025-05-14 18:44:00,2025-05-15 04:44:00,10.0
LOG200242,W0288,Night,2025-04-30 09:21:00,2025-04-30 17:21:00,8.0
LOG200243,W0500,Night,2025-05-20 08:45:00,2025-05-20 14:45:00,6.0
LOG200244,W0250,Night,2025-02-03 22:27:00,2025-02-04 06:27:00,8.0
LOG200245,W0091,Evening,2025-01-03 00:46:00,2025-01-03 07:46:00,7.0
LOG200246,W0203,Evening,2025-05-30 08:05:00,2025-05-30 15:05:00,7.0
LOG200249,W0081,Night,2025-06-12 01:50:00,2025-06-12 10:50:00,9.0
LOG200250,W0386,Morning,2025-01-05 08:34:00,2025-01-05 14:34:00,6.0
LOG200251,W0267,Night,2025-03-17 23:26:00,2025-03-18 06:26:00,7.0
LOG200252,W0172,Evening,2025-03-24 10:29:00,2025-03-24 19:29:00,9.0
LOG200253,W0135,Morning,2025-01-14 19:13:00,2025-01-15 01:13:00,6.0
LOG200255,W0403,Night,2025-02-25 01:42:00,2025-02-25 10:42:00,9.0
LOG200257,W0321,Morning,2025-01-22 07:10:00,2025-01-22 17:10:00,10.0
LOG200258,W0164,Evening,2025-06-18 20:26:00,2025-06-19 02:26:00,6.0
LOG200259,W0448,Night,2025-02-13 14:18:00,2025-02-14 00:18:00,10.0
LOG200260,W0024,Night,2025-04-15 21:33:00,2025-04-16 07:33:00,10.0
LOG200261,W0088,Night,2025-06-23 08:07:00,2025-06-23 17:07:00,9.0
LOG200262,W0187,Night,2025-01-05 00:18:00,2025-01-05 09:18:00,9.0
LOG200263,W0472,Morning,2025-06-28 19:15:00,2025-06-29 04:15:00,9.0
LOG200264,W0216,Night,2025-06-08 20:45:00,2025-06-09 02:45:00,6.0
LOG200269,W0140,Night,2025-06-13 07:10:00,2025-06-13 13:10:00,6.0
LOG200270,W0323,Night,2025-04-28 23:39:00,2025-04-29 07:39:00,8.0
LOG200271,W0350,Morning,2025-01-26 04:47:00,2025-01-26 13:47:00,9.0
LOG200272,W0008,Morning,2025-03-30 14:05:00,2025-03-31 00:05:00,10.0
LOG200273,W0041,Night,2025-01-02 01:52:00,2025-01-02 11:52:00,10.0
LOG200274,W0492,Evening,2025-05-11 13:36:00,2025-05-11 19:36:00,6.0
LOG200275,W0457,Night,2025-02-13 19:41:00,2025-02-14 03:41:00,8.0
LOG200276,W0365,Night,2025-05-19 13:45:00,2025-05-19 20:45:00,7.0
LOG200277,W0226,Evening,2025-05-13 11:41:00,2025-05-13 20:41:00,9.0
LOG200278,W0386,Night,2025-01-03 09:38:00,2025-01-03 19:38:00,10.0
LOG200280,W0434,Night,2025-04-09 14:10:00,2025-04-09 20:10:00,6.0
LOG200282,W0037,Night,2025-06-26 09:06:00,2025-06-26 19:06:00,10.0
LOG200283,W0392,Morning,2025-03-03 06:09:00,2025-03-03 13:09:00,7.0
LOG200284,W0218,Night,2025-03-02 19:21:00,2025-03-03 04:21:00,9.0
LOG200287,W0333,Morning,2025-04-21 08:03:00,2025-04-21 16:03:00,8.0
LOG200289,W0425,Evening,2025-03-04 18:40:00,2025-03-05 02:40:00,8.0
LOG200290,W0495,Night,2025-04-19 15:10:00,2025-04-19 22:10:00,7.0
LOG200291,W0082,Night,2025-06-19 04:43:00,2025-06-19 14:43:00,10.0
LOG200292,W0056,Night,2025-02-12 02:33:00,2025-02-12 12:33:00,10.0
LOG200293,W0276,Morning,2025-03-31 05:15:00,2025-03-31 14:15:00,9.0
LOG200294,W0334,Evening,2025-03-16 20:26:00,2025-03-17 05:26:00,9.0
LOG200296,W0169,Night,2025-05-27 22:18:00,2025-05-28 04:18:00,6.0
LOG200297,W0343,Morning,2025-05-12 16:54:00,2025-05-12 22:54:00,6.0
LOG200298,W0178,Night,2025-03-03 22:59:00,2025-03-04 05:59:00,7.0
LOG200299,W0140,Evening,2025-03-10 16:50:00,2025-03-10 22:50:00,6.0
LOG200300,W0322,Evening,2025-05-09 21:48:00,2025-05-10 03:48:00,6.0
LOG200301,W0408,Morning,2025-02-13 02:07:00,2025-02-13 08:07:00,6.0
LOG200302,W0438,Evening,2025-05-18 18:01:00,2025-05-19 00:01:00,6.0
LOG200303,W0184,Night,2025-04-06 18:43:00,2025-04-07 04:43:00,10.0
LOG200304,W0220,Morning,2025-03-06 22:56:00,2025-03-07 08:56:00,10.0
LOG200305,W0292,Night,2025-06-07 23:55:00,2025-06-08 05:55:00,6.0
LOG200306,W0390,Night,2025-06-01 06:06:00,2025-06-01 12:06:00,6.0
LOG200308,W0405,Night,2025-06-10 04:47:00,2025-06-10 10:47:00,6.0
LOG200309,W0031,Evening,2025-01-22 01:28:00,2025-01-22 11:28:00,10.0
LOG200310,W0380,Evening,2025-03-19 14:21:00,2025-03-19 21:21:00,7.0
LOG200312,W0065,Evening,2025-05-04 19:57:00,2025-05-05 03:57:00,8.0
LOG200313,W0467,Morning,2025-04-10 09:17:00,2025-04-10 16:17:00,7.0
LOG200314,W0201,Morning,2025-03-23 03:55:00,2025-03-23 13:55:00,10.0
LOG200315,W0248,Night,2025-03-14 22:02:00,2025-03-15 06:02:00,8.0
LOG200316,W0071,Evening,2025-05-14 04:32:00,2025-05-14 10:32:00,6.0
LOG200317,W0019,Morning,2025-02-27 23:17:00,2025-02-28 09:17:00,10.0
LOG200318,W0294,Night,2025-05-21 04:38:00,2025-05-21 11:38:00,7.0
LOG200319,W0173,Night,2025-03-26 02:15:00,2025-03-26 09:15:00,7.0
LOG200320,W0103,Night,2025-04-09 03:33:00,2025-04-09 09:33:00,6.0
LOG200321,W0174,Morning,2025-03-02 02:52:00,2025-03-02 10:52:00,8.0
LOG200322,W0371,Evening,2025-02-10 21:59:00,2025-02-11 04:59:00,7.0
LOG200324,W0144,Night,2025-05-05 19:55:00,2025-05-06 03:55:00,8.0
LOG200325,W0315,Night,2025-01-22 17:03:00,2025-01-23 02:03:00,9.0
LOG200326,W0383,Night,2025-05-21 08:57:00,2025-05-21 14:57:00,6.0
LOG200327,W0288,Evening,2025-06-16 06:59:00,2025-06-16 13:59:00,7.0
LOG200328,W0453,Morning,2025-01-30 22:11:00,2025-01-31 08:11:00,10.0
LOG200330,W0340,Morning,2025-05-04 11:49:00,2025-05-04 21:49:00,10.0
LOG200331,W0189,Night,2025-05-05 03:05:00,2025-05-05 10:05:00,7.0
LOG200333,W0298,Evening,2025-06-06 03:01:00,2025-06-06 12:01:00,9.0
LOG200334,W0274,Night,2025-06-17 17:04:00,2025-06-18 03:04:00,10.0
LOG200335,W0147,Evening,2025-01-06 12:48:00,2025-01-06 21:48:00,9.0
LOG200336,W0482,Morning,2025-03-08 16:34:00,2025-03-08 23:34:00,7.0
LOG200337,W0120,Evening,2025-05-13 05:36:00,2025-05-13 11:36:00,6.0
LOG200338,W0339,Night,2025-01-21 02:30:00,2025-01-21 09:30:00,7.0
LOG200339,W0457,Night,2025-03-22 06:31:00,2025-03-22 16:31:00,10.0
LOG200340,W0339,Evening,2025-04-08 01:21:00,2025-04-08 07:21:00,6.0
LOG200341,W0437,Morning,2025-06-01 16:15:00,2025-06-02 01:15:00,9.0
LOG200343,W0070,Evening,2025-03-19 04:31:00,2025-03-19 13:31:00,9.0
LOG200346,W0368,Evening,2025-02-05 23:40:00,2025-02-06 06:40:00,7.0
LOG200347,W0351,Evening,2025-04-04 08:15:00,2025-04-04 16:15:00,8.0
LOG200348,W0442,Evening,2025-01-12 00:16:00,2025-01-12 06:16:00,6.0
LOG200350,W0056,Evening,2025-02-27 12:25:00,2025-02-27 20:25:00,8.0
LOG200351,W0113,Night,2025-02-26 08:14:00,2025-02-26 14:14:00,6.0
LOG200352,W0384,Night,2025-02-19 13:28:00,2025-02-19 22:28:00,9.0
LOG200353,W0348,Morning,2025-02-01 06:55:00,2025-02-01 14:55:00,8.0
LOG200354,W0468,Evening,2025-06-23 02:57:00,2025-06-23 12:57:00,10.0
LOG200355,W0417,Night,2025-05-12 01:14:00,2025-05-12 10:14:00,9.0
LOG200356,W0123,Night,2025-06-29 23:39:00,2025-06-30 06:39:00,7.0
LOG200357,W0286,Evening,2025-05-06 13:44:00,2025-05-06 19:44:00,6.0
LOG200358,W0215,Evening,2025-04-03 10:53:00,2025-04-03 19:53:00,9.0
LOG200359,W0402,Morning,2025-04-22 20:59:00,2025-04-23 03:59:00,7.0
LOG200361,W0492,Evening,2025-01-19 23:52:00,2025-01-20 08:52:00,9.0
LOG200362,W0299,Night,2025-02-25 10:43:00,2025-02-25 17:43:00,7.0
LOG200363,W0409,Morning,2025-04-11 11:52:00,2025-04-11 21:52:00,10.0
LOG200364,W0111,Night,2025-03-09 12:58:00,2025-03-09 22:58:00,10.0
LOG200367,W0192,Night,2025-03-30 01:29:00,2025-03-30 09:29:00,8.0
LOG200368,W0210,Night,2025-06-25 10:23:00,2025-06-25 18:23:00,8.0
LOG200370,W0150,Morning,2025-02-02 08:13:00,2025-02-02 15:13:00,7.0
LOG200371,W0309,Night,2025-02-26 18:38:00,2025-02-27 04:38:00,10.0
LOG200373,W0216,Night,2025-05-11 13:32:00,2025-05-11 21:32:00,8.0
LOG200374,W0424,Night,2025-06-04 16:30:00,2025-06-05 02:30:00,10.0
LOG200375,W0124,Night,2025-04-14 18:16:00,2025-04-15 03:16:00,9.0
LOG200377,W0471,Evening,2025-04-10 16:45:00,2025-04-11 01:45:00,9.0
LOG200378,W0077,Evening,2025-01-18 09:21:00,2025-01-18 19:21:00,10.0
LOG200379,W0467,Evening,2025-05-18 05:44:00,2025-05-18 12:44:00,7.0
LOG200381,W0313,Night,2025-06-15 09:28:00,2025-06-15 15:28:00,6.0
LOG200383,W0416,Night,2025-04-04 22:21:00,2025-04-05 04:21:00,6.0
LOG200384,W0421,Night,2025-01-26 13:22:00,2025-01-26 20:22:00,7.0
LOG200385,W0035,Morning,2025-06-01 23:17:00,2025-06-02 06:17:00,7.0
LOG200386,W0071,Morning,2025-04-29 00:17:00,2025-04-29 10:17:00,10.0
LOG200387,W0480,Morning,2025-05-17 06:32:00,2025-05-17 12:32:00,6.0
LOG200389,W0047,Night,2025-06-16 23:13:00,2025-06-17 09:13:00,10.0
LOG200391,W0380,Morning,2025-03-06 17:39:00,2025-03-07 00:39:00,7.0
LOG200392,W0432,Evening,2025-04-03 17:02:00,2025-04-04 03:02:00,10.0
LOG200393,W0005,Evening,2025-01-29 06:28:00,2025-01-29 14:28:00,8.0
LOG200394,W0367,Evening,2025-04-09 06:15:00,2025-04-09 15:15:00,9.0
LOG200395,W0205,Evening,2025-04-01 15:50:00,2025-04-02 01:50:00,10.0
LOG200396,W0372,Night,2025-05-14 02:04:00,2025-05-14 12:04:00,10.0
LOG200397,W0274,Evening,2025-03-02 15:26:00,2025-03-02 22:26:00,7.0
LOG200398,W0336,Night,2025-04-11 23:25:00,2025-04-12 05:25:00,6.0
LOG200399,W0119,Evening,2025-05-21 15:44:00,2025-05-22 01:44:00,10.0
LOG200400,W0239,Evening,2025-02-02 09:15:00,2025-02-02 19:15:00,10.0
LOG200401,W0411,Morning,2025-01-12 08:23:00,2025-01-12 17:23:00,9.0
LOG200402,W0364,Morning,2025-06-03 06:50:00,2025-06-03 15:50:00,9.0
LOG200403,W0468,Night,2025-01-09 20:47:00,2025-01-10 02:47:00,6.0
LOG200404,W0209,Night,2025-04-14 09:29:00,2025-04-14 18:29:00,9.0
LOG200405,W0322,Night,2025-03-02 05:00:00,2025-03-02 12:00:00,7.0
LOG200406,W0394,Evening,2025-03-16 17:26:00,2025-03-17 02:26:00,9.0
LOG200407,W0102,Night,2025-02-12 02:33:00,2025-02-12 10:33:00,8.0
LOG200408,W0205,Evening,2025-04-24 10:10:00,2025-04-24 18:10:00,8.0
LOG200409,W0043,Morning,2025-04-15 13:59:00,2025-04-15 22:59:00,9.0
LOG200410,W0021,Night,2025-05-11 08:11:00,2025-05-11 15:11:00,7.0
LOG200411,W0215,Night,2025-06-18 04:23:00,2025-06-18 13:23:00,9.0
LOG200412,W0194,Night,2025-05-06 01:42:00,2025-05-06 09:42:00,8.0
LOG200414,W0225,Night,2025-05-30 23:25:00,2025-05-31 05:25:00,6.0
LOG200415,W0099,Night,2025-02-01 15:18:00,2025-02-01 23:18:00,8.0
LOG200417,W0097,Night,2025-01-03 20:38:00,2025-01-04 02:38:00,6.0
