operation_id,date,worker_id,shift_id,zone,items_picked,error_count
OP100226,2025-02-19,W0351,S2,D,32.0,1
OP100228,2025-04-07,W0209,S2,D,43.0,0
OP100230,2025-04-20,W0047,S2,C,1.0,0
OP100240,2025-04-07,W0250,S2,C,16.0,1
OP100241,2025-06-15,W0108,S3,B,31.0,0
OP100243,2025-05-20,W0261,S1,B,38.0,0
OP100245,2025-01-03,W0119,S3,B,9.0,1
OP100249,2025-06-12,W0418,S2,A,17.0,1
OP100250,2025-01-05,W0094,S3,A,16.0,0
OP100256,2025-01-17,W0400,S1,E,10.0,0
OP100258,2025-06-18,W0306,S1,D,38.0,0
OP100259,2025-02-13,W0292,S3,B,36.0,1
OP100262,2025-01-05,W0117,S2,E,5.0,1
OP100270,2025-04-28,W0157,S1,D,10.0,0
OP100271,2025-01-26,W0206,S2,D,21.0,0
OP100273,2025-01-02,W0029,S2,D,45.0,0
OP100274,2025-05-11,W0367,S1,C,14.0,0
OP100278,2025-01-03,W0415,S1,C,24.0,1
OP100279,2025-06-23,W0459,S2,C,3.0,0
OP100281,2025-06-17,W0381,S3,D,29.0,1
OP100287,2025-04-21,W0374,S2,D,15.0,1
OP100292,2025-02-12,W0280,S3,A,39.0,0
OP100294,2025-03-16,W0347,S3,A,45.0,0
OP100298,2025-03-03,W0410,S1,D,28.0,0
OP100299,2025-03-10,W0130,S2,E,47.0,0
OP100302,2025-05-18,W0086,S1,A,18.0,1
OP100305,2025-06-07,W0283,S2,C,26.0,0
OP100306,2025-06-01,W0175,S2,E,23.0,0
OP100308,2025-06-10,W0304,S3,C,47.0,0
OP100311,2025-05-01,W0011,S3,D,33.0,0
OP100312,2025-05-04,W0200,S3,E,44.0,0
OP100317,2025-02-27,W0128,S2,D,5.0,0
OP100318,2025-05-21,W0287,S1,D,21.0,0
OP100320,2025-04-09,W0481,S3,E,49.0,0
OP100321,2025-03-02,W0146,S2,D,4.0,0
OP100322,2025-02-10,W0377,S2,E,8.0,1
OP100324,2025-05-05,W0002,S2,B,1.0,0
OP100327,2025-06-16,W0120,S1,E,49.0,0
OP100328,2025-01-30,W0279,S3,D,32.0,0
OP100333,2025-06-06,W0412,S2,E,2.0,0
OP100335,2025-01-06,W0447,S2,D,1.0,0
OP100338,2025-01-21,W0458,S2,B,9.0,0
OP100339,2025-03-22,W0394,S2,A,22.0,0
OP100341,2025-06-01,W0458,S3,B,35.0,0
OP100342,2025-04-24,W0343,S2,C,3.0,0
OP100344,2025-05-28,W0208,S2,E,7.0,0
OP100345,2025-01-08,W0481,S3,C,14.0,0
OP100348,2025-01-12,W0223,S3,E,12.0,0
OP100349,2025-06-13,W0343,S2,B,34.0,0
OP100350,2025-02-27,W0179,S3,D,14.0,0
OP100351,2025-02-26,W0266,S2,B,18.0,0
OP100352,2025-02-19,W0058,S1,A,45.0,0
OP100353,2025-02-01,W0090,S1,A,28.0,0
OP100354,2025-06-23,W0307,S3,B,13.0,0
OP100356,2025-06-29,W0426,S3,A,5.0,0
OP100357,2025-05-06,W0445,S3,C,11.0,0
OP100359,2025-04-22,W0479,S3,A,34.0,0
OP100360,2025-03-29,W0256,S2,D,18.0,1
OP100362,2025-02-25,W0011,S2,B,3.0,0
OP100367,2025-03-30,W0254,S3,B,48.0,0
OP100368,2025-06-25,W0464,S2,E,17.0,0
OP100370,2025-02-02,W0282,S1,E,27.0,0
OP100373,2025-05-11,W0116,S1,E,4.0,0
OP100376,2025-03-25,W0463,S3,B,28.0,1
OP100384,2025-01-26,W0240,S2,C,37.0,0
OP100388,2025-03-22,W0094,S3,A,3.0,0
OP100391,2025-03-06,W0033,S3,E,12.0,0
OP100393,2025-01-29,W0309,S2,C,27.0,0
OP100395,2025-04-01,W0415,S3,C,33.0,0
OP100397,2025-03-02,W0050,S2,C,33.0,0
OP100398,2025-04-11,W0022,S2,E,38.0,0
OP100400,2025-02-02,W0303,S1,B,39.0,0
OP100401,2025-01-12,W0072,S2,B,38.0,1
OP100402,2025-06-03,W0141,S1,A,8.0,0
OP100404,2025-04-14,W0217,S2,A,40.0,0
OP100405,2025-03-02,W0168,S1,D,13.0,1
OP100406,2025-03-16,W0064,S3,C,47.0,1
OP100410,2025-05-11,W0112,S2,A,6.0,0
OP100411,2025-06-18,W0032,S3,C,29.0,0
OP100414,2025-05-30,W0325,S2,B,29.0,0
OP100415,2025-02-01,W0180,S1,D,5.0,0
OP100417,2025-01-03,W0288,S1,D,3.0,0
OP100420,2025-02-23,W0008,S3,E,49.0,0
OP100423,2025-04-07,W0462,S1,E,41.0,0
OP100429,2025-06-04,W0416,S1,B,27.0,1
OP100430,2025-01-21,W0438,S2,B,2.0,1
OP100431,2025-02-24,W0006,S3,D,24.0,0
OP100433,2025-02-25,W0019,S2,E,23.0,0
OP100434,2025-06-07,W0379,S2,D,20.0,0
OP100437,2025-03-31,W0208,S1,B,3.0,0
OP100438,2025-02-08,W0157,S2,B,15.0,1
OP100439,2025-01-29,W0059,S1,D,19.0,0
OP100440,2025-02-04,W0047,S2,D,25.0,0
OP100441,2025-03-08,W0487,S2,B,40.0,0
OP100442,2025-03-21,W0178,S3,D,28.0,0
OP100445,2025-04-04,W0307,S2,D,37.0,0
OP100446,2025-01-16,W0176,S2,B,26.0,0
OP100448,2025-02-20,W0336,S2,D,49.0,1
OP100450,2025-04-21,W0198,S3,B,20.0,0
OP100453,2025-06-28,W0390,S1,C,13.0,0
OP100456,2025-03-06,W0387,S2,E,1.0,0
OP100458,2025-03-28,W0364,S3,B,45.0,0
OP100460,2025-02-11,W0403,S3,A,32.0,1
OP100462,2025-06-21,W0498,S3,A,6.0,1
OP100463,2025-02-05,W0062,S1,B,41.0,0
OP100464,2025-04-22,W0167,S3,B,33.0,0
OP100470,2025-01-31,W0045,S1,D,37.0,1
OP100473,2025-04-25,W0096,S1,B,38.0,0
OP100477,2025-05-08,W0139,S1,E,40.0,1
OP100478,2025-01-10,W0287,S1,E,12.0,1
OP100479,2025-06-26,W0348,S2,B,13.0,0
OP100481,2025-05-23,W0342,S3,D,32.0,0
OP100482,2025-05-02,W0296,S2,D,24.0,0
OP100483,2025-03-10,W0288,S2,C,38.0,0
OP100484,2025-02-16,W0194,S2,B,22.0,0
OP100486,2025-05-26,W0086,S1,C,1.0,0
OP100488,2025-06-23,W0108,S3,E,4.0,0
OP100489,2025-06-13,W0010,S2,B,24.0,0
OP100490,2025-03-09,W0139,S3,B,12.0,0
OP100491,2025-01-17,W0268,S1,B,43.0,0
OP100492,2025-05-02,W0175,S1,A,48.0,0
OP100493,2025-03-09,W0058,S3,A,33.0,0
OP100496,2025-06-04,W0375,S2,C,42.0,1
OP100498,2025-05-13,W0033,S2,C,17.0,0
OP100500,2025-01-27,W0047,S2,B,29.0,0
OP100501,2025-02-23,W0012,S1,D,11.0,0
OP100503,2025-04-30,W0264,S3,B,38.0,0
OP100504,2025-05-24,W0136,S2,C,26.0,0
OP100505,2025-05-13,W0336,S1,D,17.0,0
OP100509,2025-05-21,W0147,S1,C,23.0,0
OP100517,2025-03-06,W0066,S2,E,24.0,0
OP100520,2025-05-16,W0096,S3,E,45.0,0
OP100521,2025-01-03,W0206,S1,B,26.0,0
OP100524,2025-01-01,W0477,S2,E,32.0,1
OP100526,2025-05-31,W0141,S1,E,21.0,0
OP100527,2025-05-14,W0465,S2,D,4.0,0
OP100531,2025-02-22,W0197,S3,C,35.0,0
OP100533,2025-03-27,W0025,S3,C,11.0,1
OP100534,2025-06-08,W0161,S2,E,17.0,1
OP100539,2025-02-07,W0375,S3,A,38.0,1
OP100540,2025-02-25,W0359,S3,D,23.0,1
OP100542,2025-05-10,W0358,S2,A,18.0,0
OP100544,2025-03-12,W0436,S3,A,19.0,1
OP100547,2025-01-03,W0154,S2,B,23.0,1
OP100549,2025-05-04,W0032,S2,D,14.0,0
OP100552,2025-04-24,W0382,S2,B,9.0,1
OP100554,2025-05-15,W0014,S2,C,8.0,0
OP100555,2025-03-29,W0092,S2,E,49.0,0
OP100557,2025-06-06,W0129,S1,B,47.0,0
OP100560,2025-05-22,W0284,S1,D,16.0,0
OP100561,2025-01-03,W0291,S1,C,40.0,0
OP100565,2025-05-14,W0159,S2,B,39.0,1
OP100566,2025-04-27,W0326,S2,E,42.0,0
OP100567,2025-02-19,W0445,S2,E,40.0,0
OP100568,2025-01-22,W0404,S2,C,33.0,1
OP100569,2025-06-06,W0134,S1,E,11.0,1
OP100576,2025-05-18,W0283,S3,D,47.0,0
OP100578,2025-03-08,W0422,S2,C,2.0,0
OP100580,2025-05-13,W0051,S3,E,18.0,0
OP100582,2025-04-12,W0190,S1,C,23.0,0
OP100584,2025-04-23,W0287,S1,B,4.0,1
OP100586,2025-04-05,W0413,S1,A,48.0,0
OP100590,2025-05-05,W0052,S3,C,41.0,1
OP100592,2025-02-18,W0175,S1,E,11.0,0
OP100593,2025-02-27,W0122,S1,E,16.0,1
OP100594,2025-02-05,W0351,S1,A,40.0,0
OP100596,2025-03-22,W0322,S2,E,35.0,1
OP100598,2025-03-26,W0420,S1,D,40.0,1
OP100602,2025-03-02,W0466,S2,B,20.0,0
OP100608,2025-04-12,W0051,S2,E,47.0,1
OP100609,2025-05-25,W0172,S3,A,21.0,0
OP100610,2025-05-17,W0210,S1,C,36.0,0
OP100615,2025-03-13,W0165,S1,C,28.0,0
OP100616,2025-01-22,W0032,S1,B,32.0,0
OP100619,2025-05-12,W0018,S3,C,8.0,0
OP100620,2025-06-14,W0256,S3,B,38.0,0
OP100622,2025-04-27,W0079,S2,D,24.0,0
OP100626,2025-06-17,W0157,S1,C,22.0,0
OP100630,2025-04-14,W0245,S1,D,33.0,0
OP100631,2025-06-05,W0134,S2,D,21.0,0
OP100632,2025-06-21,W0119,S2,C,7.0,0
OP100639,2025-06-13,W0026,S2,E,24.0,1
OP100640,2025-03-31,W0208,S3,E,28.0,0
OP100642,2025-05-08,W0400,S2,E,7.0,0
OP100643,2025-01-28,W0105,S2,B,15.0,0
OP100644,2025-06-08,W0080,S3,C,16.0,0
OP100648,2025-05-30,W0155,S1,B,29.0,0
OP100653,2025-03-09,W0259,S2,E,7.0,0
OP100654,2025-05-28,W0053,S3,A,46.0,1
OP100660,2025-06-19,W0145,S2,C,37.0,1
OP100661,2025-06-16,W0170,S3,C,23.0,0
OP100663,2025-04-20,W0234,S3,C,32.0,0
OP100664,2025-04-04,W0003,S2,B,41.0,0
OP100670,2025-02-06,W0200,S2,E,43.0,0
OP100671,2025-04-25,W0186,S2,C,14.0,1
OP100673,2025-01-23,W0111,S1,A,19.0,0
OP100674,2025-06-19,W0037,S2,D,30.0,0
OP100676,2025-03-27,W0425,S2,A,27.0,0
OP100677,2025-01-08,W0051,S1,A,22.0,0
OP100679,2025-06-22,W0350,S3,A,29.0,0
OP100680,2025-02-24,W0405,S2,C,19.0,0
OP100681,2025-03-15,W0264,S3,B,7.0,0
OP100682,2025-01-05,W0174,S2,E,24.0,0
OP100684,2025-06-25,W0187,S2,A,30.0,0
OP100685,2025-02-02,W0035,S2,C,18.0,1
OP100686,2025-03-14,W0266,S2,C,9.0,0
OP100687,2025-05-25,W0135,S2,A,11.0,0
OP100688,2025-05-15,W0436,S2,D,16.0,0
OP100690,2025-06-06,W0419,S1,C,9.0,1
OP100692,2025-01-07,W0268,S1,C,6.0,1
OP100696,2025-05-16,W0225,S1,C,37.0,0
OP100698,2025-04-27,W0017,S2,C,35.0,1
OP100699,2025-03-23,W0315,S2,C,48.0,1
OP100701,2025-01-29,W0116,S1,E,42.0,0
OP100702,2025-01-11,W0469,S1,A,47.0,0
OP100705,2025-01-05,W0066,S1,A,6.0,1
OP100706,2025-06-11,W0069,S1,C,27.0,0
OP100707,2025-05-24,W0421,S2,A,25.0,1
OP100709,2025-03-26,W0226,S2,A,43.0,0
OP100711,2025-03-25,W0450,S2,B,34.0,0
OP100712,2025-04-16,W0216,S2,C,28.0,0
OP100713,2025-03-21,W0144,S1,E,27.0,1
OP100715,2025-06-08,W0023,S2,E,13.0,1
OP100716,2025-03-10,W0496,S2,D,38.0,0
OP100718,2025-05-07,W0496,S1,C,41.0,0
OP100722,2025-01-07,W0304,S2,D,32.0,0
OP100723,2025-01-26,W0422,S2,E,10.0,1
OP100724,2025-02-11,W0171,S3,C,36.0,0
OP100727,2025-01-06,W0097,S2,C,35.0,1
OP100729,2025-04-15,W0331,S2,C,46.0,0
OP100730,2025-02-22,W0027,S1,C,14.0,1
OP100735,2025-01-07,W0384,S2,A,49.0,0
OP100736,2025-03-06,W0480,S2,D,36.0,0
OP100737,2025-03-16,W0092,S2,B,34.0,0
OP100738,2025-01-31,W0463,S1,D,13.0,0
OP100740,2025-02-13,W0068,S1,D,28.0,0
OP100742,2025-01-20,W0123,S2,A,15.0,0
OP100751,2025-05-01,W0172,S2,B,36.0,0
OP100753,2025-02-25,W0095,S1,E,42.0,0
OP100757,2025-04-15,W0118,S2,B,19.0,1
OP100761,2025-06-03,W0238,S2,C,9.0,0
OP100762,2025-02-02,W0203,S2,C,30.0,0
OP100763,2025-06-23,W0307,S1,A,22.0,1
OP100764,2025-06-26,W0487,S1,B,16.0,0
OP100768,2025-03-14,W0119,S3,C,47.0,0
OP100772,2025-02-24,W0200,S2,E,45.0,0
OP100773,2025-02-10,W0135,S3,C,25.0,0
OP100774,2025-03-09,W0199,S1,E,39.0,1
OP100775,2025-02-07,W0488,S3,E,4.0,0
OP100776,2025-04-24,W0141,S1,B,38.0,0
OP100780,2025-01-27,W0138,S1,D,36.0,0
OP100783,2025-06-20,W0032,S1,B,37.0,1
OP100786,2025-06-06,W0020,S3,C,6.0,0
OP100791,2025-05-16,W0037,S2,C,39.0,0
OP100796,2025-01-04,W0025,S2,E,20.0,1
OP100797,2025-01-12,W0237,S3,A,19.0,0
OP100799,2025-02-15,W0034,S1,A,19.0,0
OP100800,2025-05-17,W0140,S2,C,43.0,0
OP100801,2025-02-13,W0371,S2,A,48.0,1
OP100802,2025-01-23,W0329,S2,C,1.0,1
OP100810,2025-06-26,W0107,S1,A,48.0,0
OP100811,2025-03-10,W0364,S2,D,39.0,0
OP100812,2025-01-30,W0379,S2,D,25.0,1
OP100814,2025-01-27,W0479,S1,C,43.0,0
OP100817,2025-02-22,W0042,S2,B,41.0,1
OP100824,2025-04-30,W0027,S3,C,9.0,0
OP100832,2025-05-30,W0324,S2,B,29.0,1
OP100834,2025-03-02,W0286,S1,B,26.0,0
OP100835,2025-01-12,W0131,S2,E,41.0,0
OP100839,2025-01-07,W0130,S1,C,8.0,0
OP100841,2025-03-27,W0267,S2,B,36.0,1
OP100847,2025-04-14,W0446,S2,A,14.0,1
OP100849,2025-01-08,W0288,S1,D,38.0,1
OP100851,2025-05-21,W0272,S3,E,36.0,0
OP100854,2025-03-30,W0366,S2,D,38.0,0
OP100855,2025-05-11,W0395,S2,C,6.0,1
OP100856,2025-05-25,W0040,S1,D,4.0,0
OP100857,2025-01-07,W0208,S3,D,29.0,1
OP100860,2025-02-25,W0243,S2,B,4.0,0
OP100865,2025-01-30,W0272,S3,B,18.0,0
OP100868,2025-04-20,W0341,S1,E,44.0,0
OP100873,2025-03-05,W0455,S2,A,43.0,0
OP100879,2025-05-14,W0335,S1,E,11.0,0
OP100880,2025-03-05,W0310,S2,E,7.0,0
OP100881,2025-04-09,W0476,S1,C,6.0,1
OP100882,2025-02-21,W0477,S3,E,35.0,0
OP100883,2025-04-20,W0120,S1,A,23.0,0
OP100886,2025-06-22,W0445,S3,A,39.0,0
OP100888,2025-04-10,W0221,S1,D,21.0,0
OP100892,2025-04-26,W0425,S1,B,42.0,0
OP100896,2025-01-03,W0168,S1,E,39.0,0
OP100900,2025-01-09,W0109,S2,A,30.0,0
OP100904,2025-01-14,W0331,S2,D,48.0,0
OP100906,2025-03-01,W0383,S2,D,38.0,1
OP100910,2025-04-03,W0394,S3,C,15.0,0
OP100913,2025-04-15,W0377,S2,C,39.0,0
OP100914,2025-03-08,W0048,S2,E,34.0,0
OP100922,2025-05-23,W0221,S1,A,21.0,1
OP100924,2025-02-21,W0194,S2,D,48.0,0
OP100926,2025-03-29,W0132,S1,E,7.0,0
OP100927,2025-04-25,W0428,S2,C,5.0,1
OP100930,2025-01-15,W0152,S1,D,25.0,0
OP100936,2025-02-07,W0118,S1,A,48.0,1
OP100938,2025-02-08,W0327,S3,A,12.0,0
OP100940,2025-05-29,W0420,S2,C,4.0,0
OP100941,2025-04-10,W0422,S1,D,17.0,0
OP100952,2025-03-31,W0222,S2,E,34.0,0
OP100957,2025-03-16,W0094,S2,A,46.0,0
OP100959,2025-03-18,W0020,S2,B,35.0,0
OP100960,2025-05-18,W0006,S2,D,6.0,0
OP100961,2025-06-18,W0245,S2,B,28.0,1
OP100965,2025-02-22,W0086,S2,A,46.0,0
OP100966,2025-02-08,W0250,S2,C,25.0,0
OP100968,2025-01-14,W0018,S1,A,32.0,0
OP100970,2025-04-04,W0056,S1,E,15.0,0
OP100972,2025-05-17,W0331,S2,C,42.0,0
OP100973,2025-05-04,W0263,S2,B,49.0,0
OP100975,2025-03-09,W0397,S1,D,15.0,0
OP100981,2025-04-17,W0214,S1,E,46.0,0
OP100986,2025-05-11,W0247,S2,C,42.0,1
OP100987,2025-03-14,W0103,S3,C,19.0,0
OP100997,2025-01-13,W0025,S3,E,26.0,0
OP100999,2025-02-02,W0194,S3,B,11.0,1
OP101003,2025-02-24,W0214,S1,B,45.0,1
OP101005,2025-05-22,W0284,S2,B,29.0,1
OP101007,2025-03-10,W0379,S1,B,32.0,0
OP101009,2025-01-29,W0465,S1,C,25.0,0
OP101014,2025-04-04,W0297,S3,A,22.0,0
OP101015,2025-01-26,W0497,S3,E,13.0,0
OP101017,2025-06-27,W0084,S2,E,32.0,1
OP101019,2025-06-21,W0224,S2,C,17.0,0
OP101021,2025-06-11,W0176,S2,E,22.0,0
OP101024,2025-05-18,W0320,S2,D,40.0,0
OP101027,2025-06-03,W0150,S2,E,1.0,0
OP101029,2025-03-18,W0170,S2,C,19.0,1
OP101031,2025-03-10,W0079,S2,A,18.0,0
OP101033,2025-05-17,W0318,S2,C,32.0,0
OP101034,2025-01-03,W0435,S2,E,40.0,0
OP101040,2025-01-30,W0032,S2,A,4.0,0
OP101041,2025-06-02,W0442,S3,B,45.0,0
OP101043,2025-02-11,W0039,S1,B,21.0,0
OP101044,2025-05-23,W0469,S2,A,40.0,0
OP101047,2025-01-23,W0171,S3,A,39.0,0
OP101053,2025-04-29,W0012,S1,E,39.0,1
OP101056,2025-01-03,W0042,S3,A,49.0,0
OP101057,2025-05-31,W0138,S1,D,20.0,0
OP101059,2025-06-10,W0329,S2,A,12.0,0
OP101060,2025-03-19,W0446,S2,B,43.0,0
OP101062,2025-02-17,W0248,S2,E,18.0,1
OP101065,2025-04-22,W0232,S2,C,36.0,0
OP101067,2025-03-01,W0129,S3,D,22.0,0
OP101068,2025-05-23,W0377,S2,E,3.0,0
OP101071,2025-02-17,W0157,S1,E,20.0,0
OP101072,2025-05-16,W0315,S2,B,24.0,1
OP101073,2025-01-21,W0429,S2,E,33.0,0
OP101075,2025-04-28,W0296,S3,E,26.0,1
OP101077,2025-03-08,W0096,S2,A,47.0,0
OP101078,2025-05-16,W0267,S2,C,18.0,0
OP101080,2025-03-22,W0365,S2,E,25.0,0
OP101082,2025-02-13,W0220,S2,A,14.0,0
OP101084,2025-04-06,W0217,S1,A,43.0,0
OP101086,2025-03-31,W0162,S3,C,5.0,1
OP101087,2025-01-02,W0489,S2,A,18.0,0
OP101091,2025-01-18,W0425,S1,A,4.0,0
OP101093,2025-06-21,W0203,S2,C,19.0,1
OP101094,2025-03-02,W0240,S3,A,24.0,1
OP101095,2025-04-30,W0406,S3,A,43.0,0
OP101096,2025-05-22,W0110,S3,B,27.0,0
OP101097,2025-03-30,W0348,S1,C,2.0,0
OP101098,2025-02-18,W0330,S2,B,8.0,0
OP101103,2025-05-14,W0047,S3,B,40.0,0
OP101104,2025-04-19,W0157,S3,D,22.0,0
OP101107,2025-05-17,W0348,S2,B,16.0,0
OP101108,2025-06-22,W0115,S1,E,36.0,0
OP101109,2025-01-03,W0272,S3,A,27.0,1
OP101111,2025-04-30,W0447,S1,A,22.0,0
OP101114,2025-06-04,W0003,S1,E,33.0,0
OP101115,2025-05-10,W0326,S1,C,22.0,1
OP101116,2025-03-15,W0465,S3,B,26.0,1
OP101117,2025-01-12,W0295,S2,E,2.0,1
OP101118,2025-02-01,W0457,S2,D,26.0,0
OP101119,2025-06-03,W0457,S1,A,5.0,0
OP101120,2025-06-22,W0173,S2,D,6.0,0
OP101121,2025-02-22,W0056,S2,C,8.0,0
OP101123,2025-03-21,W0352,S2,C,39.0,0
OP101124,2025-04-29,W0399,S3,A,6.0,1
OP101125,2025-04-04,W0011,S2,D,14.0,0
OP101128,2025-02-08,W0013,S2,D,29.0,0
OP101130,2025-02-12,W0173,S1,C,27.0,0
OP101133,2025-03-07,W0157,S2,D,5.0,0
OP101134,2025-01-31,W0287,S2,B,8.0,1
OP101136,2025-06-12,W0322,S2,D,16.0,0
OP101144,2025-01-07,W0500,S2,A,45.0,0
OP101146,2025-06-28,W0495,S1,A,49.0,0
OP101147,2025-04-16,W0050,S3,C,12.0,0
OP101149,2025-05-07,W0053,S2,C,27.0,0
OP101152,2025-06-27,W0319,S2,A,21.0,0
OP101153,2025-01-27,W0283,S3,C,20.0,0
OP101155,2025-02-23,W0396,S1,B,10.0,0
OP101158,2025-02-21,W0066,S2,C,30.0,0
OP101161,2025-03-19,W0268,S3,E,11.0,0
OP101165,2025-05-16,W0138,S1,A,1.0,0
OP101167,2025-04-07,W0381,S1,A,37.0,0
OP101169,2025-01-18,W0405,S1,B,21.0,0
OP101170,2025-06-19,W0477,S1,C,18.0,1
OP101172,2025-01-11,W0138,S3,C,12.0,1
OP101173,2025-06-21,W0159,S2,A,19.0,1
OP101174,2025-06-14,W0415,S1,E,6.0,0
OP101175,2025-02-09,W0179,S3,C,49.0,0
OP101184,2025-05-02,W0049,S3,E,46.0,0
OP101185,2025-02-11,W0310,S2,E,46.0,1
OP101186,2025-06-22,W0090,S2,C,36.0,0
OP101187,2025-02-13,W0147,S2,C,10.0,0
OP101192,2025-05-11,W0096,S2,A,4.0,1
OP101196,2025-06-19,W0050,S1,D,13.0,0
